,source,target,delta_time,line_name
34,Kamiennogórska (Ośrodek dla niewidomych),Złotnicka,2.0,10
35,Złotnicka,Wschowska,1.0,10
36,Wschowska,Jeleniogórska,1.0,10
37,Jeleniogórska,LEŚNICA,1.0,10
1,POŚWIĘTNE,Wołowska,1.0,7
2,Wołowska,Kępińska,1.0,7
3,Kępińska,Kamieńskiego,2.0,7
4,Kamieńskiego,Broniewskiego,2.0,7
5,Broniewskiego,Trzebnicka,3.0,7
6,Trzebnicka,DWORZEC NADODRZE,2.0,7
7,DWORZEC NADODRZE,Paulińska,2.0,7
8,Paulińska,Dubois,3.0,7
9,Dubois,Uniwersytet Wrocławski,2.0,7
10,Uniwersytet Wrocławski,Rynek,3.0,7
11,Rynek,Narodowe Forum Muzyki,2.0,7
12,Narodowe Forum Muzyki,Renoma,4.0,7
13,Renoma,Arkady (Capitol),2.0,7
14,Arkady (Capitol),Zaolziańska,2.0,7
15,Zaolziańska,Wielka,1.0,7
16,Wielka,Rondo,2.0,7
17,Rondo,Sztabowa,1.0,7
18,Sztabowa,Hallera,2.0,7
19,Hallera,Jastrzębia,1.0,7
20,Jastrzębia,Orla,1.0,7
21,Orla,KRZYKI,3.0,7
22,KRZYKI,Radio i Telewizja,1.0,7
23,Radio i Telewizja,Przyjaźni,2.0,7
24,Przyjaźni,Braterska,1.0,7
25,Braterska,Sąsiedzka,1.0,7
26,Sąsiedzka,KLECINA,1.0,7
1,PARK POŁUDNIOWY,Pułtuska,1.0,9
2,Pułtuska,Weigla (Szpital),1.0,9
3,Weigla (Szpital),Jaworowa,1.0,9
4,Jaworowa,Wiśniowa,1.0,9
5,Wiśniowa,Uniwersytet Ekonomiczny,2.0,9
6,Uniwersytet Ekonomiczny,Sanocka,2.0,9
7,Sanocka,DWORZEC AUTOBUSOWY,3.0,9
8,DWORZEC AUTOBUSOWY,DWORZEC GŁÓWNY,3.0,9
9,DWORZEC GŁÓWNY,Wzgórze Partyzantów,2.0,9
10,Wzgórze Partyzantów,GALERIA DOMINIKAŃSKA,3.0,9
11,GALERIA DOMINIKAŃSKA,pl. Nowy Targ,1.0,9
12,pl. Nowy Targ,Hala Targowa,1.0,9
13,Hala Targowa,pl. Bema,3.0,9
14,pl. Bema,Ogród Botaniczny,2.0,9
15,Ogród Botaniczny,Górnickiego,1.0,9
16,Górnickiego,Piastowska,1.0,9
17,Piastowska,Grunwaldzka,2.0,9
18,Grunwaldzka,Kochanowskiego,2.0,9
19,Kochanowskiego,Chopina,2.0,9
20,Chopina,Karłowicza,1.0,9
21,Karłowicza,Stadion Olimpijski,1.0,9
22,Stadion Olimpijski,8 Maja,1.0,9
23,8 Maja,Godebskiego (AWF Wrocław),1.0,9
24,Godebskiego (AWF Wrocław),SĘPOLNO,2.0,9
1,TARCZYŃSKI ARENA (Królewiecka),Dworska,1.0,31
2,Dworska,Górnicza,1.0,31
3,Górnicza,Modra,1.0,31
4,Modra,Pilczycka (Anima),1.0,31
5,Pilczycka (Anima),Kolista,1.0,31
6,Kolista,Kwiska,4.0,31
7,Kwiska,Małopanewska,1.0,31
8,Małopanewska,Niedźwiedzia,2.0,31
9,Niedźwiedzia,ZACHODNIA (Stacja kolejowa),3.0,31
10,ZACHODNIA (Stacja kolejowa),pl. Strzegomski (Muzeum Współczesne),2.0,31
